Age,Workout_Type,Workout_Frequency (days/week)
18.0,Cardio,3.0833333333333335
18.0,HIIT,3.09375
18.0,Strength,3.0943396226415096
18.0,Yoga,3.466666666666667
19.0,Cardio,3.375
19.0,HIIT,3.2857142857142856
19.0,Strength,3.3333333333333335
19.0,Yoga,3.5
20.0,Cardio,3.5714285714285716
20.0,HIIT,3.6666666666666665
20.0,Strength,3.5555555555555554
20.0,Yoga,3.4285714285714284
21.0,Cardio,3.4166666666666665
21.0,HIIT,3.4
21.0,Strength,3.0
21.0,Yoga,3.4444444444444446
22.0,Cardio,2.857142857142857
22.0,HIIT,3.875
22.0,Strength,3.0
22.0,Yoga,3.0
23.0,Cardio,3.2222222222222223
23.0,HIIT,3.5714285714285716
23.0,Strength,3.142857142857143
23.0,Yoga,3.3636363636363638
24.0,Cardio,2.857142857142857
24.0,HIIT,4.0
24.0,Strength,2.7777777777777777
24.0,Yoga,2.909090909090909
25.0,Cardio,2.5
25.0,HIIT,3.3333333333333335
25.0,Strength,3.6363636363636362
25.0,Yoga,3.5
26.0,Cardio,4.333333333333333
26.0,HIIT,3.6666666666666665
26.0,Strength,3.1666666666666665
26.0,Yoga,3.4
27.0,Cardio,3.2857142857142856
27.0,HIIT,4.375
27.0,Strength,3.2666666666666666
27.0,Yoga,3.3333333333333335
28.0,Cardio,2.4285714285714284
28.0,HIIT,3.7
28.0,Strength,3.3333333333333335
28.0,Yoga,3.0
29.0,Cardio,3.5555555555555554
29.0,HIIT,3.7142857142857144
29.0,Strength,3.5
29.0,Yoga,2.888888888888889
30.0,Cardio,3.4615384615384617
30.0,HIIT,3.6
30.0,Strength,3.111111111111111
30.0,Yoga,3.5
31.0,Cardio,3.5
31.0,HIIT,3.3333333333333335
31.0,Strength,2.9166666666666665
31.0,Yoga,3.6666666666666665
32.0,Cardio,3.25
32.0,HIIT,3.2
32.0,Strength,4.4
32.0,Yoga,3.25
33.0,Cardio,3.5294117647058822
33.0,HIIT,3.272727272727273
33.0,Strength,3.1666666666666665
33.0,Yoga,3.0
34.0,Cardio,3.8
34.0,HIIT,3.3333333333333335
34.0,Strength,3.5555555555555554
34.0,Yoga,3.0
35.0,Cardio,3.1666666666666665
35.0,HIIT,4.0
35.0,Strength,3.375
35.0,Yoga,3.4
36.0,Cardio,3.25
36.0,HIIT,3.6
36.0,Strength,3.0
36.0,Yoga,3.5
37.0,Cardio,2.25
37.0,HIIT,3.5
37.0,Strength,3.625
37.0,Yoga,3.6666666666666665
38.0,Cardio,3.0
38.0,HIIT,3.6
38.0,Strength,3.3333333333333335
38.0,Yoga,3.375
39.0,Cardio,3.75
39.0,HIIT,2.75
39.0,Strength,3.25
39.0,Yoga,3.0
40.0,Cardio,4.0
40.0,HIIT,2.5
40.0,Strength,3.2
40.0,Yoga,3.8
41.0,Cardio,3.3333333333333335
41.0,HIIT,3.5
41.0,Strength,3.25
41.0,Yoga,3.8
42.0,Cardio,3.142857142857143
42.0,HIIT,3.5
42.0,Strength,2.875
42.0,Yoga,3.8333333333333335
43.0,Cardio,2.888888888888889
43.0,HIIT,3.4
43.0,Strength,3.1818181818181817
43.0,Yoga,3.25
44.0,Cardio,3.727272727272727
44.0,HIIT,3.6666666666666665
44.0,Strength,3.111111111111111
44.0,Yoga,3.25
45.0,Cardio,3.4285714285714284
45.0,HIIT,3.3333333333333335
45.0,Strength,3.727272727272727
45.0,Yoga,3.3333333333333335
46.0,Cardio,3.3333333333333335
46.0,HIIT,3.3333333333333335
46.0,Strength,3.142857142857143
46.0,Yoga,3.0
47.0,Cardio,3.0
47.0,HIIT,3.5
47.0,Strength,3.4166666666666665
47.0,Yoga,3.0
48.0,Cardio,3.5
48.0,HIIT,4.666666666666667
48.0,Strength,3.8333333333333335
48.0,Yoga,3.0
49.0,Cardio,3.5714285714285716
49.0,HIIT,3.2
49.0,Strength,3.25
49.0,Yoga,3.142857142857143
50.0,Cardio,3.875
50.0,HIIT,4.5
50.0,Strength,3.0
50.0,Yoga,3.2857142857142856
51.0,Cardio,2.625
51.0,HIIT,3.1666666666666665
51.0,Strength,2.5
51.0,Yoga,4.333333333333333
52.0,Cardio,3.8333333333333335
52.0,HIIT,3.0
52.0,Strength,3.3333333333333335
52.0,Yoga,3.6666666666666665
53.0,Cardio,5.0
53.0,HIIT,3.6666666666666665
53.0,Strength,3.5
53.0,Yoga,3.4285714285714284
54.0,Cardio,4.0
54.0,HIIT,3.6
54.0,Strength,3.5555555555555554
54.0,Yoga,3.1666666666666665
55.0,Cardio,3.3333333333333335
55.0,HIIT,3.5714285714285716
55.0,Strength,3.0
55.0,Yoga,3.3333333333333335
56.0,Cardio,4.0
56.0,HIIT,3.2
56.0,Yoga,3.3333333333333335
57.0,HIIT,3.0
57.0,Strength,4.0
57.0,Yoga,3.75
58.0,Cardio,3.0
58.0,HIIT,3.0
58.0,Strength,4.0
58.0,Yoga,3.3333333333333335
59.0,Cardio,3.142857142857143
59.0,HIIT,3.4
59.0,Strength,3.2857142857142856
59.0,Yoga,3.0
