Age,Gender,Workout_Frequency (days/week)
18.0,Female,3.1384615384615384
18.0,Male,3.186046511627907
19.0,Female,3.5
19.0,Male,3.2
20.0,Female,3.6666666666666665
20.0,Male,3.4705882352941178
21.0,Female,3.411764705882353
21.0,Male,3.235294117647059
22.0,Female,3.375
22.0,Male,3.0
23.0,Female,3.238095238095238
23.0,Male,3.35
24.0,Female,3.3529411764705883
24.0,Male,2.75
25.0,Female,3.3636363636363638
25.0,Male,3.3636363636363638
26.0,Female,3.2941176470588234
26.0,Male,3.6470588235294117
27.0,Female,3.5294117647058822
27.0,Male,3.526315789473684
28.0,Female,2.9285714285714284
28.0,Male,3.4
29.0,Female,3.608695652173913
29.0,Male,2.75
30.0,Female,3.466666666666667
30.0,Male,3.3125
31.0,Female,3.3
31.0,Male,3.3125
32.0,Female,3.4285714285714284
32.0,Male,3.6363636363636362
33.0,Female,3.375
33.0,Male,3.2083333333333335
34.0,Female,3.6666666666666665
34.0,Male,3.3333333333333335
35.0,Female,3.6
35.0,Male,3.3125
36.0,Female,3.4
36.0,Male,3.3636363636363638
37.0,Female,3.2941176470588234
37.0,Male,3.5
38.0,Female,3.142857142857143
38.0,Male,3.466666666666667
39.0,Female,3.4166666666666665
39.0,Male,2.6666666666666665
40.0,Female,3.5555555555555554
40.0,Male,3.3
41.0,Female,3.9
41.0,Male,3.0
42.0,Female,3.5294117647058822
42.0,Male,2.75
43.0,Female,3.3846153846153846
43.0,Male,2.9375
44.0,Female,3.3333333333333335
44.0,Male,3.5833333333333335
45.0,Female,3.526315789473684
45.0,Male,3.4545454545454546
46.0,Female,3.090909090909091
46.0,Male,3.3076923076923075
47.0,Female,3.1578947368421053
47.0,Male,3.25
48.0,Female,3.823529411764706
48.0,Male,3.25
49.0,Female,3.4615384615384617
49.0,Male,3.142857142857143
50.0,Female,3.2
50.0,Male,3.7142857142857144
51.0,Female,3.0833333333333335
51.0,Male,2.769230769230769
52.0,Female,3.8
52.0,Male,3.357142857142857
53.0,Female,3.7777777777777777
53.0,Male,3.5714285714285716
54.0,Female,3.6363636363636362
54.0,Male,3.4166666666666665
55.0,Female,3.642857142857143
55.0,Male,2.4
56.0,Female,3.2857142857142856
56.0,Male,3.4
57.0,Female,3.6666666666666665
57.0,Male,3.0
58.0,Female,3.5
58.0,Male,3.0
59.0,Female,3.090909090909091
59.0,Male,3.4
